train_no,step_seq,from_station,to_station,booked_srt_min,length_km
12247,0,BDTS,ST,210,251.0
12247,1,ST,BRC,86,129.0
12247,2,BRC,RTM,199,262.0
12247,3,RTM,KOTA,150,265.0
12247,4,KOTA,MTJ,220,320.0
12247,5,MTJ,NZM,133,128.0
12248,0,NZM,MTJ,95,130.0
12248,1,MTJ,KOTA,173,320.0
12248,2,KOTA,RTM,190,265.0
12248,3,RTM,BRC,212,263.0
12248,4,BRC,ST,128,128.0
12248,5,ST,BDTS,240,252.0
12471,0,BDTS,BVI,31,18.0
12471,1,BVI,VAPI,115,140.0
12471,2,VAPI,ST,77,93.0
12471,3,ST,BH,45,59.0
12471,4,BH,BRC,60,70.0
12471,5,BRC,GDA,75,73.0
12471,6,GDA,DHD,53,74.0
12471,7,DHD,MGN,23,33.0
12471,8,MGN,RTM,90,82.0
12471,9,RTM,NAD,60,44.0
12471,10,NAD,BWM,77,121.0
12471,11,BWM,KOTA,71,100.0
12471,12,KOTA,SWM,70,108.0
12471,13,SWM,MTJ,183,212.0
12471,14,MTJ,NZM,127,128.0
12471,15,NZM,NDLS,21,7.0
12471,16,NDLS,PNP,70,90.0
12471,17,PNP,UMB,113,109.0
12471,18,UMB,LDH,100,113.0
12471,19,LDH,JRC,50,53.0
12471,20,JRC,PTKC,105,112.0
12471,21,PTKC,KTHU,28,24.0
12471,22,KTHU,JAT,90,76.0
12471,23,JAT,UHP,75,53.0
12471,24,UHP,SVDK,60,25.0
12472,0,SVDK,UHP,26,24.0
12472,1,UHP,JAT,72,53.0
12472,2,JAT,KTHU,65,77.0
12472,3,KTHU,PTKC,38,23.0
12472,4,PTKC,JRC,105,113.0
12472,5,JRC,LDH,55,52.0
12472,6,LDH,UMB,110,113.0
12472,7,UMB,PNP,82,109.0
12472,8,PNP,SZM,94,86.0
12472,9,SZM,NDLS,30,4.0
12472,10,NDLS,MTJ,135,137.0
12472,11,MTJ,SWM,137,212.0
12472,12,SWM,KOTA,76,108.0
12472,13,KOTA,BWM,80,101.0
12472,14,BWM,NAD,123,120.0
12472,15,NAD,RTM,40,45.0
12472,16,RTM,MGN,62,82.0
12472,17,MGN,DHD,24,33.0
12472,18,DHD,GDA,80,74.0
12472,19,GDA,BRC,59,73.0
